V1	V2	V3	V4	V5	V6	V7	V8	V9	accession
1e-05	1e-05	0.496685	1e-05	1e-05	1e-05	1e-05	0.503245	1e-05	CAMPUB_114
1e-05	0.006181	0.112221	0.247334	0.069843	1e-05	1e-05	0.452697	0.111694	UNT_003_reseq
1e-05	1e-05	1e-05	1e-05	1.9e-05	0.416508	1e-05	0.583413	1e-05	CAMPUB_095
1e-05	0.028817	0.343597	1e-05	1e-05	1e-05	1e-05	0.627526	1e-05	CAMPUB_119
0.052924	1e-05	0.065938	0.312067	0.015272	1e-05	1e-05	0.553758	1e-05	CAMPUB_088
0.443236	1e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	0.55669	1e-05	CAMPUB_090
1e-05	0.244133	1e-05	1e-05	1e-05	1e-05	1e-05	0.684428	0.071379	UNT_004_reseq
1e-05	1e-05	1e-05	0.435399	1e-05	1e-05	1e-05	0.564531	1e-05	CAMPUB_199
0.345539	1e-05	0.038663	1e-05	1e-05	1e-05	0.026699	0.58905	1e-05	CAMPUB_250
1.2e-05	1.2e-05	1e-05	1.1e-05	1e-05	0.29733	1e-05	0.702594	1e-05	CAMPUB_235
1e-05	0.01751	0.143751	0.076675	1e-05	1e-05	1e-05	0.739799	0.022224	CAMPUB_086
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	UNT_002_reseq
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.972508	0.027422	UNT_018_reseq
1e-05	1e-05	1e-05	0.049258	1e-05	1e-05	1e-05	0.950672	1e-05	CAMPUB_170
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	CAMPUB_231
1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	0.999915	1e-05	CAMPUB_241
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	CAMPUB_234
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	CAMPUB_073
1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	1e-05	0.999915	1e-05	CAMPUB_228
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	CAMPUB_083
1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999917	1e-05	CAMPUB_239
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	CAMPUB_104
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	CAMPUB_108
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	CAMPUB_028
1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	0.999919	1e-05	CAMPUB_033
0.261234	0.030841	0.125969	0.495963	0.022744	1e-05	0.050025	0.013203	1e-05	CAMPUB_124
0.606957	0.021286	0.028778	0.270417	0.072522	1e-05	1e-05	1e-05	1e-05	CAMPUB_218
0.137201	0.091182	0.211715	0.300783	0.044287	1e-05	0.081048	1e-05	0.133764	UNT_046_reseq
0.070781	0.016734	0.1564	0.574025	0.154366	1e-05	1e-05	0.027663	1e-05	CAMPUB_169
0.160578	0.016855	0.144491	0.485318	0.150154	1e-05	0.028273	0.014312	1e-05	CAMPUB_226
1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_035
0.005875	0.013784	1e-05	0.86006	0.012779	1e-05	0.051758	1e-05	0.055714	UNT_030_reseq
1e-05	0.026201	0.023688	0.561482	1e-05	0.016903	0.061001	0.153309	0.157396	UNT_039_reseq
1e-05	1e-05	0.280772	0.704973	1e-05	1e-05	0.014194	1e-05	1e-05	CAMPUB_216
1e-05	1e-05	1e-05	0.667764	1e-05	0.332166	1e-05	1e-05	1e-05	CAMPUB_257
0.445405	1e-05	1e-05	0.554525	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_278
0.446766	1e-05	1e-05	0.553164	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_057
0.354027	1e-05	1e-05	0.645903	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_204
1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_055
1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_173
1e-05	1e-05	1e-05	0.763786	0.066944	0.067267	0.039208	0.062754	1e-05	CAMPUB_041
1.4e-05	1e-05	0.051579	0.559317	0.108421	0.046133	0.03146	0.053901	0.149165	UNT_024_reseq
1e-05	1e-05	1e-05	0.760492	0.119312	1e-05	1e-05	0.120136	1e-05	CAMPUB_160
1e-05	1e-05	1e-05	0.770274	0.128064	1e-05	1e-05	0.05021	0.051402	CAMPUB_171
1e-05	1e-05	1e-05	0.774404	0.092718	1e-05	1e-05	0.087483	0.045345	CAMPUB_262
1e-05	1e-05	1e-05	0.734286	0.146436	1e-05	1e-05	0.078222	0.041006	CAMPUB_120
0.005401	1e-05	1e-05	0.721856	0.042393	1e-05	1e-05	0.038181	0.19213	UNT_026_reseq
0.09209	1e-05	1e-05	0.673438	0.071379	1e-05	1e-05	0.005351	0.157702	UNT_027_new
0.0736	1e-05	1e-05	0.696126	0.069369	1e-05	1e-05	0.035403	0.125462	UNT_028_reseq
0.412205	1e-05	1e-05	0.333763	0.253972	1e-05	1e-05	1e-05	1e-05	CAMPUB_057
0.385175	1e-05	1.1e-05	0.309824	0.246572	1e-05	1e-05	1e-05	0.058377	UNT_025_new
0.189109	1e-05	1e-05	0.400153	0.388139	1e-05	1e-05	0.022549	1e-05	CAMPUB_045
0.144141	1e-05	1e-05	0.394841	0.351795	1e-05	1e-05	1e-05	0.109173	UNT_019_new
0.442989	0.014485	0.12292	0.260392	0.159173	1e-05	1e-05	1e-05	1e-05	CAMPUB_056
0.29013	0.026921	0.360326	0.116091	0.206294	1e-05	0.000208	1e-05	1e-05	CAMPUB_223
0.462532	0.028782	0.234954	0.177303	0.077328	0.019071	1e-05	1e-05	1e-05	CAMPUB_225
0.491799	0.014931	0.210146	0.223744	0.024806	1e-05	1e-05	0.034544	1e-05	CAMPUB_025
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_111
0.645888	0.044496	0.176813	1e-05	1.1e-05	1e-05	0.095891	1e-05	0.03687	UNT_029_reseq
0.627033	1e-05	0.372897	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_255
0.72337	1e-05	0.005623	0.147429	0.123528	1e-05	1e-05	1e-05	1e-05	CAMPUB_007
0.816699	1e-05	0.080861	1e-05	0.07718	1e-05	0.02521	1e-05	1e-05	CAMPUB_252
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_197
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_244
1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	UNT_059_reseq
1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	CAMPUB_038
1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	CAMPUB_039
1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	CAMPUB_049
1.6e-05	1.7e-05	1e-05	1.8e-05	0.999895	1.3e-05	1e-05	1e-05	1e-05	CAMPUB_052
0.114734	0.0231	0.351837	0.234658	0.113976	1e-05	0.043796	0.008459	0.10943	UNT_037_reseq
0.317778	1e-05	0.14656	0.50933	0.026282	1e-05	1e-05	1e-05	1e-05	CAMPUB_203
0.176926	1e-05	0.521084	0.082326	0.170734	1e-05	0.045363	0.003538	1e-05	CAMPUB_209
0.004627	0.074757	0.464702	0.310284	0.024166	0.013396	0.071971	0.023747	0.012348	CAMPUB_074
1e-05	0.005201	0.353885	0.640854	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_152
0.043413	0.030261	0.302672	0.410039	0.096105	1e-05	0.001797	0.012874	0.102829	CAMPUB_259
0.034518	0.07632	0.269406	0.400161	0.083526	0.014141	0.032352	0.035551	0.054023	CAMPUB_261
1e-05	0.040885	0.513772	0.325796	0.072639	1e-05	0.032461	0.014417	1e-05	CAMPUB_123
1e-05	0.016842	0.389097	0.500726	1e-05	1e-05	1e-05	0.026509	0.066786	CAMPUB_029
1e-05	0.017665	0.383791	0.505206	1e-05	1e-05	1e-05	0.025451	0.067846	CAMPUB_030
1e-05	1e-05	0.483053	0.089685	1e-05	1e-05	0.059475	0.260172	0.107575	CAMPUB_084
1e-05	1e-05	0.559537	0.372857	0.021722	1e-05	1e-05	0.015954	0.02989	CAMPUB_271
0.467557	0.032715	0.071105	0.405178	1.1e-05	1e-05	0.023405	1e-05	1e-05	CAMPUB_212
0.371432	0.122407	0.41436	1e-05	1.6e-05	1.1e-05	0.091737	1.7e-05	1e-05	CAMPUB_136
0.203608	0.091078	0.218974	1e-05	1e-05	0.426988	0.059307	1.6e-05	1e-05	CAMPUB_211
0.557163	0.091938	0.334178	1e-05	1e-05	1e-05	0.016671	1e-05	1e-05	CAMPUB_008
0.798798	0.072331	0.081792	1e-05	1e-05	1.7e-05	0.047022	1e-05	1e-05	CAMPUB_040
0.14709	0.039867	0.043613	1e-05	1e-05	0.377805	0.14572	0.245875	1e-05	CAMPUB_096
1e-05	0.019886	0.237802	0.252718	1e-05	0.453759	1e-05	0.035794	1e-05	CAMPUB_205
0.108268	1e-05	0.10295	0.079717	0.068312	0.601415	0.039308	1e-05	1e-05	CAMPUB_164
0.170485	1.1e-05	0.083742	0.075946	0.075243	0.55856	0.007258	1e-05	0.028745	CAMPUB_196
1e-05	1e-05	0.013825	0.284376	0.098003	0.592225	1e-05	0.011531	1e-05	CAMPUB_219
1e-05	1e-05	0.012735	0.290326	0.096682	0.591239	1e-05	0.008977	1e-05	CAMPUB_220
1e-05	1e-05	0.439927	1e-05	1e-05	0.560003	1e-05	1e-05	1e-05	CAMPUB_233
1e-05	1e-05	0.548492	1e-05	1e-05	0.451438	1e-05	1e-05	1e-05	CAMPUB_242
1e-05	1e-05	1.7e-05	1e-05	1e-05	0.999913	1e-05	1e-05	1e-05	CAMPUB_068
1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	CAMPUB_067
1.3e-05	1e-05	1e-05	1e-05	1e-05	0.999917	1e-05	1e-05	1e-05	CAMPUB_236
1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	CAMPUB_229
1e-05	1e-05	1.1e-05	1e-05	1e-05	0.999919	1e-05	1e-05	1e-05	CAMPUB_256
0.201822	1e-05	0.102629	1e-05	1e-05	0.69549	1e-05	1e-05	1e-05	CAMPUB_131
1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	CAMPUB_253
1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	CAMPUB_063
1.7e-05	1e-05	1e-05	1e-05	1e-05	0.999913	1e-05	1e-05	1e-05	CAMPUB_240
0.134161	0.108174	0.366786	0.174302	0.107824	1e-05	0.050451	0.052526	0.005766	CAMPUB_036
0.04608	0.057429	0.520688	0.212809	0.116221	1e-05	0.004413	0.042339	1e-05	CAMPUB_110
0.212018	0.088973	0.540387	0.045137	0.060071	0.010865	0.008085	1e-05	0.034454	CAMPUB_266
0.181654	0.086377	0.545117	0.053528	0.085815	0.014583	1e-05	0.001399	0.031517	CAMPUB_268
1e-05	0.548279	1e-05	0.354147	1e-05	0.020399	1e-05	0.01917	0.057964	CAMPUB_147
1e-05	0.511334	1e-05	0.303954	1e-05	1e-05	1e-05	0.005216	0.179446	UNT_050_reseq
1e-05	0.534202	1e-05	0.465728	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_149
0.043278	0.42283	0.031159	0.084828	0.001115	0.41676	1e-05	1e-05	1e-05	CAMPUB_194
0.169129	0.506304	1e-05	1e-05	0.324506	1e-05	1e-05	1e-05	1e-05	CAMPUB_078
0.026588	0.438093	0.154675	1e-05	1e-05	1e-05	0.150642	0.229963	1e-05	CAMPUB_154
1e-05	0.585632	0.121405	1e-05	0.246013	1e-05	1e-05	1e-05	0.0469	UNT_040_reseq
1e-05	0.559047	1.9e-05	1e-05	1e-05	0.440874	1e-05	1e-05	1e-05	CAMPUB_193
0.126472	0.620819	0.211985	1e-05	0.040674	1e-05	1e-05	1e-05	1e-05	CAMPUB_161
1e-05	0.45446	0.545469	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_210
1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_116
1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_174
1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_243
1.8e-05	0.999912	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_138
1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_145
1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_180
1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_020_new
1e-05	0.99991	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_023_reseq
1e-05	0.999914	1e-05	1e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	UNT_001_reseq
1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	UNT_022_reseq
0.133954	0.495233	1e-05	1e-05	1e-05	0.200466	2e-05	0.170288	1e-05	CAMPUB_085
1e-05	0.518538	1e-05	1e-05	1e-05	1e-05	1e-05	0.481392	1e-05	CAMPUB_091
1e-05	1e-05	0.543716	0.391136	0.030656	1e-05	0.034441	1e-05	1e-05	CAMPUB_098
1e-05	1e-05	0.564616	1e-05	1e-05	0.435314	1e-05	1e-05	1e-05	CAMPUB_099
1e-05	0.000697	0.565928	0.197453	0.001073	0.216738	1e-05	0.018082	1e-05	CAMPUB_237
1e-05	1e-05	1e-05	1e-05	1e-05	0.466565	0.533365	1e-05	1e-05	CAMPUB_192
1e-05	1e-05	1e-05	1e-05	1e-05	0.484005	0.515925	1e-05	1e-05	CAMPUB_162
1e-05	1e-05	1e-05	1e-05	1e-05	0.529436	0.470494	1e-05	1e-05	CAMPUB_195
1e-05	1e-05	1e-05	1e-05	1e-05	0.509604	0.490326	1e-05	1e-05	CAMPUB_258
1e-05	1e-05	1e-05	1e-05	1e-05	0.437205	0.562725	1e-05	1e-05	CAMPUB_246
0.099286	1e-05	1e-05	0.102369	1e-05	1e-05	0.798286	1e-05	1e-05	CAMPUB_146
0.155548	0.06202	0.146694	1e-05	1e-05	1e-05	0.635688	1e-05	1e-05	CAMPUB_201
0.20339	0.017819	0.039498	1e-05	1e-05	1e-05	0.739243	1e-05	1e-05	CAMPUB_206
1e-05	0.032163	0.148192	1e-05	1e-05	1.1e-05	0.819575	1.9e-05	1e-05	CAMPUB_058
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	CAMPUB_159
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	UNT_053_reseq
1e-05	0.046975	0.952954	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	CAMPUB_066
1e-05	0.038711	0.841015	1e-05	1.5e-05	1e-05	0.03866	1e-05	0.081559	UNT_021_new
1e-05	0.085452	0.822421	1e-05	1e-05	1e-05	1e-05	1e-05	0.092067	UNT_031_reseq
1e-05	0.123373	0.876557	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_187
1e-05	0.419915	0.563668	1e-05	1e-05	1e-05	1e-05	1e-05	0.016357	UNT_058_reseq
1e-05	1e-05	0.988527	1e-05	1e-05	1e-05	0.011403	1e-05	1e-05	CAMPUB_260
1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_273
1e-05	0.06241	0.93752	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_270
1e-05	0.000445	0.999485	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_135
1e-05	0.023229	0.976701	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_168
0.017927	0.054205	0.665683	0.134095	0.018231	0.010221	0.072767	0.026862	1e-05	CAMPUB_072
1e-05	1e-05	0.708484	0.266803	0.024653	1e-05	1e-05	1e-05	1e-05	CAMPUB_150
1e-05	1e-05	0.518734	1e-05	1e-05	0.481196	1e-05	1e-05	1e-05	CAMPUB_167
1e-05	1e-05	0.211982	1e-05	1e-05	0.230433	0.542802	1e-05	0.014733	UNT_055_reseq
1.8e-05	1e-05	0.480266	1e-05	1e-05	0.519656	1e-05	1e-05	1e-05	CAMPUB_248
1e-05	1e-05	0.754252	1e-05	0.033999	0.067556	0.114808	1e-05	0.029345	CAMPUB_272
1e-05	1e-05	0.999912	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_264
1e-05	1e-05	0.692575	1.4e-05	1e-05	0.307351	1e-05	1e-05	1e-05	CAMPUB_070
1e-05	1e-05	0.703039	1e-05	1e-05	0.296891	1e-05	1e-05	1e-05	CAMPUB_081
1e-05	1e-05	0.936839	1e-05	1e-05	0.063091	1e-05	1e-05	1e-05	CAMPUB_269
1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_061
1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_137
1e-05	1e-05	0.725169	1e-05	1e-05	1e-05	0.274761	1e-05	1e-05	CAMPUB_148
1.3e-05	1e-05	0.773633	1e-05	1.1e-05	1e-05	0.226293	1e-05	1e-05	CAMPUB_153
1e-05	1e-05	0.529272	1e-05	1e-05	1e-05	0.470658	1e-05	1e-05	CAMPUB_155
1e-05	1e-05	0.45221	0.125402	1e-05	1e-05	0.422329	1e-05	1e-05	CAMPUB_080
1e-05	1e-05	0.67073	0.329197	1.2e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_251
0.218081	1e-05	0.41086	0.018843	0.10504	0.247137	1e-05	1e-05	1e-05	CAMPUB_175
0.325025	0.02813	0.348398	0.034852	0.093582	0.09054	1.7e-05	1e-05	0.079445	UNT_038_new
0.010557	0.047048	0.342371	1e-05	0.020909	0.47005	1e-05	1e-05	0.109035	UNT_032_reseq
1e-05	0.098756	0.821492	1e-05	0.005154	1e-05	0.001986	1e-05	0.072571	UNT_033_reseq
